experiment_id,experiment_title_inferred,experiment_dir,artifact_path,artifact_type,file_extension,file_size_bytes,modified_time,likely_role,manuscript_relevance,notes
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/.DS_Store,unknown,,8196,2026-05-02T07:40:16,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/config.cpython-313.pyc,unknown,.pyc,2681,2026-05-01T22:39:38,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/config.cpython-314.pyc,unknown,.pyc,2992,2026-05-01T22:48:44,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/data.cpython-313.pyc,unknown,.pyc,3973,2026-05-01T22:39:38,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/data.cpython-314.pyc,unknown,.pyc,4663,2026-05-01T22:48:44,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/logging_utils.cpython-313.pyc,unknown,.pyc,682,2026-05-01T22:39:38,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/logging_utils.cpython-314.pyc,unknown,.pyc,881,2026-05-01T22:48:44,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/modulators.cpython-313.pyc,unknown,.pyc,2578,2026-05-01T22:39:38,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/modulators.cpython-314.pyc,unknown,.pyc,2998,2026-05-01T22:48:44,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/plastic_graph.cpython-313.pyc,unknown,.pyc,15429,2026-05-01T22:39:38,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/plastic_graph.cpython-314.pyc,unknown,.pyc,18804,2026-05-01T22:48:44,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/storage.cpython-313.pyc,unknown,.pyc,9278,2026-05-01T22:39:38,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/storage.cpython-314.pyc,unknown,.pyc,10665,2026-05-01T22:48:44,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/trainer.cpython-313.pyc,unknown,.pyc,8455,2026-05-01T22:39:38,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/__pycache__/trainer.cpython-314.pyc,unknown,.pyc,9559,2026-05-01T22:48:46,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/config.py,code,.py,1542,2026-05-01T22:38:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/data.py,code,.py,2146,2026-05-01T22:38:54,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/logging_utils.py,code,.py,301,2026-05-01T22:38:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/modulators.py,code,.py,1770,2026-05-01T22:38:54,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/plastic_graph.py,code,.py,9876,2026-05-01T22:39:16,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/storage.py,code,.py,6081,2026-05-01T22:38:42,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/plastic_graph_mnist/trainer.py,code,.py,5633,2026-05-01T22:39:32,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/README.md,readme,.md,1566,2026-05-02T07:57:00,experiment overview and run notes,medium,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/requirements.txt,config,.txt,57,2026-05-01T22:38:22,dependency manifest,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/run_mnist_experiment.py,script,.py,2874,2026-05-01T22:39:32,experiment runner,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/runs/plastic_graph_mnist.sqlite3,unknown,.sqlite3,11345920,2026-05-01T22:49:32,per-run SQLite database,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/start.ps1,script,.ps1,505,2026-05-02T07:57:00,launch script,low,Indexed from local filesystem; interpretation pending human/thread review.
exp1,Persistent Plastic Graph MNIST Prototype,experiments/experiment1,experiments/experiment1/start.sh,script,.sh,250,2026-05-01T22:47:30,launch script,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/.DS_Store,unknown,,8196,2026-05-02T07:40:24,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/analysis/analysis_report.md,report,.md,2419,2026-05-01T22:55:24,generated report,high,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/analysis/latest_checkpoint_summary.json,json,.json,2245,2026-05-01T22:55:22,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/analysis/metrics.csv,metrics_csv,.csv,10672,2026-05-01T22:55:22,primary metrics,high,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/analysis/test_accuracy.png,plot,.png,48824,2026-05-01T22:55:24,accuracy plot,high,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/analysis/test_average_confidence.png,plot,.png,47370,2026-05-01T22:55:24,plot image,high,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/analysis/train_average_confidence.png,plot,.png,55047,2026-05-01T22:55:24,plot image,high,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/analysis/train_window_accuracy.png,plot,.png,53268,2026-05-01T22:55:24,accuracy plot,high,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/analyze_results.py,script,.py,17659,2026-05-01T22:51:04,analysis script,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/data/MNIST/raw/t10k-images-idx3-ubyte,unknown,,7840016,2026-05-01T22:54:50,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/data/MNIST/raw/t10k-images-idx3-ubyte.gz,unknown,.gz,1648877,2026-05-01T22:54:50,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/data/MNIST/raw/t10k-labels-idx1-ubyte,unknown,,10008,2026-05-01T22:54:52,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/data/MNIST/raw/t10k-labels-idx1-ubyte.gz,unknown,.gz,4542,2026-05-01T22:54:52,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/data/MNIST/raw/train-images-idx3-ubyte,unknown,,47040016,2026-05-01T22:54:44,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/data/MNIST/raw/train-images-idx3-ubyte.gz,unknown,.gz,9912422,2026-05-01T22:54:44,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/data/MNIST/raw/train-labels-idx1-ubyte,unknown,,60008,2026-05-01T22:54:46,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/data/MNIST/raw/train-labels-idx1-ubyte.gz,unknown,.gz,28881,2026-05-01T22:54:46,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__init__.py,code,.py,0,2026-05-01T22:38:04,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__pycache__/__init__.cpython-314.pyc,unknown,.pyc,167,2026-05-01T22:54:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__pycache__/config.cpython-314.pyc,unknown,.pyc,2992,2026-05-01T22:54:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__pycache__/data.cpython-314.pyc,unknown,.pyc,4663,2026-05-01T22:54:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__pycache__/logging_utils.cpython-314.pyc,unknown,.pyc,881,2026-05-01T22:54:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__pycache__/modulators.cpython-314.pyc,unknown,.pyc,2998,2026-05-01T22:54:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__pycache__/plastic_graph.cpython-314.pyc,unknown,.pyc,18804,2026-05-01T22:54:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__pycache__/storage.cpython-314.pyc,unknown,.pyc,10665,2026-05-01T22:54:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/__pycache__/trainer.cpython-314.pyc,unknown,.pyc,9559,2026-05-01T22:54:32,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/config.py,code,.py,1542,2026-05-01T22:38:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/data.py,code,.py,2146,2026-05-01T22:38:54,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/logging_utils.py,code,.py,301,2026-05-01T22:38:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/modulators.py,code,.py,1770,2026-05-01T22:38:54,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/plastic_graph.py,code,.py,9876,2026-05-01T22:39:16,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/storage.py,code,.py,6081,2026-05-01T22:38:42,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/plastic_graph_mnist/trainer.py,code,.py,5633,2026-05-01T22:39:32,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/README.md,readme,.md,2627,2026-05-02T07:57:00,experiment overview and run notes,medium,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/requirements.txt,config,.txt,73,2026-05-01T22:51:04,dependency manifest,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/run_mnist_experiment.py,script,.py,2874,2026-05-01T22:39:32,experiment runner,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/runs/plastic_graph_mnist.sqlite3,unknown,.sqlite3,11345920,2026-05-01T22:55:20,per-run SQLite database,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/start.ps1,script,.ps1,685,2026-05-02T07:57:00,launch script,low,Indexed from local filesystem; interpretation pending human/thread review.
exp2,Persistent Plastic Graph MNIST Prototype,experiments/experiment2,experiments/experiment2/start.sh,script,.sh,345,2026-05-01T22:53:52,launch script,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/analysis/suite/suite_best_accuracy.png,plot,.png,68252,2026-05-02T08:17:02,accuracy plot,high,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/analysis/suite/suite_comparison.csv,summary_csv,.csv,1892,2026-05-02T08:17:01,supporting artifact,high,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/analysis/suite/suite_report.md,report,.md,3192,2026-05-02T08:17:01,generated report,high,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/analyze_experiment_suite.py,script,.py,9575,2026-05-02T07:05:52,analysis script,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/analyze_results.py,script,.py,17659,2026-05-01T22:51:04,analysis script,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/data/MNIST/raw/t10k-images-idx3-ubyte,unknown,,7840016,2026-05-02T07:16:38,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/data/MNIST/raw/t10k-images-idx3-ubyte.gz,unknown,.gz,1648877,2026-05-02T07:16:38,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/data/MNIST/raw/t10k-labels-idx1-ubyte,unknown,,10008,2026-05-02T07:16:40,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/data/MNIST/raw/t10k-labels-idx1-ubyte.gz,unknown,.gz,4542,2026-05-02T07:16:40,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/data/MNIST/raw/train-images-idx3-ubyte,unknown,,47040016,2026-05-02T07:16:34,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/data/MNIST/raw/train-images-idx3-ubyte.gz,unknown,.gz,9912422,2026-05-02T07:16:34,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/data/MNIST/raw/train-labels-idx1-ubyte,unknown,,60008,2026-05-02T07:16:36,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/data/MNIST/raw/train-labels-idx1-ubyte.gz,unknown,.gz,28881,2026-05-02T07:16:36,raw dataset or cached data,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__init__.py,code,.py,0,2026-05-01T22:38:04,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/__init__.cpython-312.pyc,unknown,.pyc,203,2026-05-02T08:04:07,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/__init__.cpython-314.pyc,unknown,.pyc,205,2026-05-02T07:15:58,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/config.cpython-312.pyc,unknown,.pyc,3299,2026-05-02T08:04:07,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/config.cpython-314.pyc,unknown,.pyc,3619,2026-05-02T07:15:58,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/data.cpython-312.pyc,unknown,.pyc,4005,2026-05-02T08:04:07,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/data.cpython-314.pyc,unknown,.pyc,4701,2026-05-02T07:15:58,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/logging_utils.cpython-312.pyc,unknown,.pyc,755,2026-05-02T08:04:08,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/logging_utils.cpython-314.pyc,unknown,.pyc,919,2026-05-02T07:16:28,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/modulators.cpython-312.pyc,unknown,.pyc,2584,2026-05-02T08:04:08,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/modulators.cpython-314.pyc,unknown,.pyc,3036,2026-05-02T07:16:28,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/plastic_graph.cpython-312.pyc,unknown,.pyc,24574,2026-05-02T08:04:08,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/plastic_graph.cpython-314.pyc,unknown,.pyc,28840,2026-05-02T07:16:28,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/storage.cpython-312.pyc,unknown,.pyc,9362,2026-05-02T08:04:08,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/storage.cpython-314.pyc,unknown,.pyc,10703,2026-05-02T07:16:28,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/trainer.cpython-312.pyc,unknown,.pyc,9259,2026-05-02T08:04:09,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/__pycache__/trainer.cpython-314.pyc,unknown,.pyc,10391,2026-05-02T07:16:28,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/config.py,code,.py,2022,2026-05-02T07:04:46,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/data.py,code,.py,2146,2026-05-01T22:38:54,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
exp3,Persistent Plastic Graph MNIST Experiments,experiments/experiment3,experiments/experiment3/plastic_graph_mnist/logging_utils.py,code,.py,301,2026-05-01T22:38:30,supporting artifact,low,Indexed from local filesystem; interpretation pending human/thread review.
